scientificName,decimalLatitude,decimalLongitude,year,basisOfRecord,species_standard
Impatiens glandulifera Royle,59.00203,16.16726,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.26201,16.03673,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.49343,11.81641,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.19108,16.04271,1974,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.70391,15.76536,1975,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.37765,15.1953,1974,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.16606,13.8148,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.2184,16.46424,1973,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.52439,15.78072,1972,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.26579,16.49566,1973,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.76416,16.97166,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.20604,18.15711,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.33266,17.10156,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.74774,17.09003,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.22707,15.63617,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.95618,16.29623,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.63498,11.97779,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,55.873,13.49177,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.65652,16.4968,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,63.29664,18.69026,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.98263,17.28735,1991,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.00578,17.33916,1993,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.56094,16.19452,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,61.00706,14.53482,2010,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,61.11892,14.60052,2007,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.98206,14.6244,2007,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.23901,16.52874,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,61.10178,14.65009,2002,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,61.09401,14.65726,2014,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.41236,15.92609,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,55.80552,14.00465,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,55.83502,14.08347,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.91877,16.58213,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.51159,14.05717,2008,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.09622,12.38513,2008,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.12515,12.2538,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.58337,12.10124,1989,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.59865,12.10136,1989,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.38371,12.8212,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.60142,16.2089,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.61123,14.19753,2003,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.66516,14.27455,1971,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.59392,16.15317,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.13708,17.5694,1999,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.25941,17.48369,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.16519,17.35827,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.00038,16.34974,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.17796,13.97055,2004,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,55.86315,13.70114,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.06544,14.63306,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.22034,15.31224,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.25733,14.54339,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.58549,14.15518,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.58013,14.15222,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.76454,16.54212,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.51908,13.07955,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.19753,13.71053,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.18013,15.10931,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.41303,14.05072,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.36997,18.04866,1993,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.41212,12.32531,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.18282,18.3963,2000,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.2551,18.27984,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.82136,14.99394,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.75796,12.00041,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.09561,12.38611,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.18389,12.41569,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.50426,16.26367,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.25547,13.60367,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.6605,16.60491,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.65907,16.60541,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.29626,13.48242,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.26692,13.60092,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.09166,13.62972,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.64579,12.05649,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.18898,13.51477,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.12175,12.24565,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.90317,15.83669,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.58401,16.68149,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.6521,14.23098,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.58223,16.26986,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.57398,16.63756,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.69028,14.22785,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.36744,15.68702,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.62427,17.68586,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.26295,15.19449,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.62427,17.68586,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.20827,14.65766,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.04589,18.2421,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.48315,15.4602,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.68004,16.30094,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.56658,16.7463,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.31389,17.88248,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.18337,15.04038,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.18299,15.03932,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.66782,16.58435,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,59.50717,16.60065,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.49988,12.28487,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.39759,16.54823,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,58.49172,12.44095,2013,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.39756,16.54848,2013,PRESERVED_SPECIMEN,Impatiens glandulifera
