scientificName,decimalLatitude,decimalLongitude,year,basisOfRecord
Heracleum mantegazzianum Sommier & Levier,56.90598,12.50198,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.01913,12.96351,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.94852,12.46394,1983,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.86051,14.12831,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.67036,16.26304,1997,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.53395,13.31315,1991,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.53679,11.98565,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.73581,13.03096,1986,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.42057,12.0361,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.56312,13.27575,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.56841,13.12918,1990,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.52194,13.44258,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.51537,13.21338,1992,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.9236,12.57163,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.50337,13.00355,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.33185,12.26122,1987,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.89645,15.85827,1996,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.00974,13.07879,1992,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.58245,16.21992,1994,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.97765,12.97108,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.43729,12.9935,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.0219,17.16218,1980,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.42041,15.75888,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.46616,15.67608,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.42035,15.67363,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.46689,13.15476,1989,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.45004,13.05787,1991,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,65.37261,19.54138,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.41595,14.73251,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.58778,16.21678,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.5402,12.96844,1983,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.90891,16.54574,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.16188,16.5051,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.69263,16.0731,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.77691,11.98186,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.76647,12.83787,1986,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.19259,14.8463,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.80996,17.66667,2001,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.88502,17.62165,2004,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.87754,12.62849,1985,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,65.33559,16.0682,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,64.09548,19.56035,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.24859,14.41912,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.22266,14.81809,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.37469,18.04842,1974,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.29018,14.74636,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.95,15.78623,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.3145,14.69785,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.32567,15.82104,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.23654,17.14728,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.23735,17.14426,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,59.1774,15.58945,1997,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.07368,13.01933,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.18966,14.84872,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,58.8524,14.94186,NA,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.87237,13.05537,1987,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,56.11774,14.69099,2012,HUMAN_OBSERVATION
Heracleum mantegazzianum Sommier & Levier,57.99591,14.42587,2012,HUMAN_OBSERVATION
